N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Humidity (%),pH,Rainfall (mm),label,guide
3310,24.45,359,28.2,77.6,7.4,2054,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3310,24.45,359,27.6,77.2,7.4,2589,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1170,22.14,283,27.6,84,7.4,2434,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3310,24.45,359,27.4,77.1,7.4,2076,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1710,22.16,305,28.4,82.4,7.5,2323,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2210,25.95,317,26.1,80.5,7.5,2520,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2110,20.93,328,26.5,83.6,7.5,2686,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1470,18.7,294,27.5,78.6,7.2,2070,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2520,23.57,328,26.6,81.9,7.4,2769,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1170,22.14,283,28.1,81.3,7.4,2529,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2530,27.67,356,26.2,89.7,7.5,2094,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1170,22.14,283,26.6,79.3,7.4,2798,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3520,29.72,381,27,81.2,7.4,2747,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1710,22.16,305,27.7,75.4,7.5,2620,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2530,27.67,356,27.8,83.7,7.5,2282,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2520,23.57,328,28.3,86.7,7.4,2614,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2210,25.95,317,26.2,80.4,7.5,2271,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2920,22.97,364,27,88.4,7.5,2777,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3310,24.45,359,27.3,82.7,7.4,2797,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2920,22.97,364,27.4,85.1,7.5,2324,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1470,18.7,294,27.1,80.1,7.2,2348,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2530,27.67,356,28.3,88.5,7.5,2138,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1710,22.16,305,27,79.4,7.5,2574,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2110,20.93,328,26.4,78.4,7.5,2485,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3670,24.15,398,27.5,75.9,7.3,2164,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1470,18.7,294,28,85.9,7.2,2165,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2520,23.57,328,27.5,77.6,7.4,2047,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
2920,22.97,364,28.4,82.6,7.5,2520,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
1470,18.7,294,27.2,85.8,7.2,2731,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
3670,24.15,398,28.2,82.8,7.3,2287,ginger,"To plant ginger, mix 25 grams of powdered neem cake with the soil in each pit. Space plants 20-25 cm apart in rows that are 25 cm apart. For irrigated crops, create ridges 40-45 cm apart and plant in shallow pits spaced 22-30 cm apart. Use seed rhizomes weighing 20-30 grams with at least one bud, mixed with well-rotted cattle manure or compost and 10 grams of Trichoderma. Cover the mixture with a thin layer of soil. You will need 600-1000 kg of seed rhizomes per acre, increasing the amount for higher altitudes. In South India, sow from April to May; in North India, slightly later. Water the irrigated crop immediately after sowing. For rain-fed crops, use leaf mulch for protection and add organic matter. You can plant cluster-bean, pigeon-pea, or castor seeds in irrigation channels for shade, with shoots emerging in 10-20 days."
96,22,28,26.4,73.2,6.7,182.3,turmeric,"To start turmeric cultivation, plough your field 4 to 5 times until the soil is fine. Depending on your irrigation setup, prepare either ridges and furrows or raised beds. Mix in about 25�30 tons of well-rotted farmyard manure (FYM) per hectare for better soil fertility.In South India, plant from April to June, while in North India, the season is usually May to June. Choose healthy rhizomes weighing 25�30 grams and plant them 5�7 cm deep. Space them 45 cm apart for ridges (20�25 cm between plants) or 30�40 cm apart in beds. You'll need about 2000�2500 kg of rhizomes per hectare.Use FYM and apply NPK (60:50:120 kg/ha) in 2�3 split doses. Adding 5�10 grams of Trichoderma per pit can help prevent rot. After planting, mulch with 12�15 tons of green leaves or straw to retain moisture and control weeds. Water immediately after planting and every 7�10 days, ensuring good drainage. Weed at 30, 60, and 90 days, and earth up around 60 days. The crop matures in 7�9 months. Harvest when the leaves turn yellow, usually between January and March, and then dig out, clean, and process the rhizomes. "
102,24,30,25.8,76.1,6.9,170.5,turmeric,"To start turmeric cultivation, plough your field 4 to 5 times until the soil is fine. Depending on your irrigation setup, prepare either ridges and furrows or raised beds. Mix in about 25�30 tons of well-rotted farmyard manure (FYM) per hectare for better soil fertility.In South India, plant from April to June, while in North India, the season is usually May to June. Choose healthy rhizomes weighing 25�30 grams and plant them 5�7 cm deep. Space them 45 cm apart for ridges (20�25 cm between plants) or 30�40 cm apart in beds. You'll need about 2000�2500 kg of rhizomes per hectare.Use FYM and apply NPK (60:50:120 kg/ha) in 2�3 split doses. Adding 5�10 grams of Trichoderma per pit can help prevent rot. After planting, mulch with 12�15 tons of green leaves or straw to retain moisture and control weeds. Water immediately after planting and every 7�10 days, ensuring good drainage. Weed at 30, 60, and 90 days, and earth up around 60 days. The crop matures in 7�9 months. Harvest when the leaves turn yellow, usually between January and March, and then dig out, clean, and process the rhizomes. "
91,20,26,27.1,70.3,6.5,190.8,turmeric,"To start turmeric cultivation, plough your field 4 to 5 times until the soil is fine. Depending on your irrigation setup, prepare either ridges and furrows or raised beds. Mix in about 25�30 tons of well-rotted farmyard manure (FYM) per hectare for better soil fertility.In South India, plant from April to June, while in North India, the season is usually May to June. Choose healthy rhizomes weighing 25�30 grams and plant them 5�7 cm deep. Space them 45 cm apart for ridges (20�25 cm between plants) or 30�40 cm apart in beds. You'll need about 2000�2500 kg of rhizomes per hectare.Use FYM and apply NPK (60:50:120 kg/ha) in 2�3 split doses. Adding 5�10 grams of Trichoderma per pit can help prevent rot. After planting, mulch with 12�15 tons of green leaves or straw to retain moisture and control weeds. Water immediately after planting and every 7�10 days, ensuring good drainage. Weed at 30, 60, and 90 days, and earth up around 60 days. The crop matures in 7�9 months. Harvest when the leaves turn yellow, usually between January and March, and then dig out, clean, and process the rhizomes. "
97,21,29,26.7,74.2,6.8,185.4,turmeric,"To start turmeric cultivation, plough your field 4 to 5 times until the soil is fine. Depending on your irrigation setup, prepare either ridges and furrows or raised beds. Mix in about 25�30 tons of well-rotted farmyard manure (FYM) per hectare for better soil fertility.In South India, plant from April to June, while in North India, the season is usually May to June. Choose healthy rhizomes weighing 25�30 grams and plant them 5�7 cm deep. Space them 45 cm apart for ridges (20�25 cm between plants) or 30�40 cm apart in beds. You'll need about 2000�2500 kg of rhizomes per hectare.Use FYM and apply NPK (60:50:120 kg/ha) in 2�3 split doses. Adding 5�10 grams of Trichoderma per pit can help prevent rot. After planting, mulch with 12�15 tons of green leaves or straw to retain moisture and control weeds. Water immediately after planting and every 7�10 days, ensuring good drainage. Weed at 30, 60, and 90 days, and earth up around 60 days. The crop matures in 7�9 months. Harvest when the leaves turn yellow, usually between January and March, and then dig out, clean, and process the rhizomes. "
103,23,31,25.9,72,7,178.6,turmeric,"To start turmeric cultivation, plough your field 4 to 5 times until the soil is fine. Depending on your irrigation setup, prepare either ridges and furrows or raised beds. Mix in about 25�30 tons of well-rotted farmyard manure (FYM) per hectare for better soil fertility.In South India, plant from April to June, while in North India, the season is usually May to June. Choose healthy rhizomes weighing 25�30 grams and plant them 5�7 cm deep. Space them 45 cm apart for ridges (20�25 cm between plants) or 30�40 cm apart in beds. You'll need about 2000�2500 kg of rhizomes per hectare.Use FYM and apply NPK (60:50:120 kg/ha) in 2�3 split doses. Adding 5�10 grams of Trichoderma per pit can help prevent rot. After planting, mulch with 12�15 tons of green leaves or straw to retain moisture and control weeds. Water immediately after planting and every 7�10 days, ensuring good drainage. Weed at 30, 60, and 90 days, and earth up around 60 days. The crop matures in 7�9 months. Harvest when the leaves turn yellow, usually between January and March, and then dig out, clean, and process the rhizomes. "
95,22,28,26.5,75.4,6.7,182.7,turmeric,"To start turmeric cultivation, plough your field 4 to 5 times until the soil is fine. Depending on your irrigation setup, prepare either ridges and furrows or raised beds. Mix in about 25�30 tons of well-rotted farmyard manure (FYM) per hectare for better soil fertility.In South India, plant from April to June, while in North India, the season is usually May to June. Choose healthy rhizomes weighing 25�30 grams and plant them 5�7 cm deep. Space them 45 cm apart for ridges (20�25 cm between plants) or 30�40 cm apart in beds. You'll need about 2000�2500 kg of rhizomes per hectare.Use FYM and apply NPK (60:50:120 kg/ha) in 2�3 split doses. Adding 5�10 grams of Trichoderma per pit can help prevent rot. After planting, mulch with 12�15 tons of green leaves or straw to retain moisture and control weeds. Water immediately after planting and every 7�10 days, ensuring good drainage. Weed at 30, 60, and 90 days, and earth up around 60 days. The crop matures in 7�9 months. Harvest when the leaves turn yellow, usually between January and March, and then dig out, clean, and process the rhizomes. "
100,24,27,26.8,73.1,6.6,177.3,turmeric,"To start turmeric cultivation, plough your field 4 to 5 times until the soil is fine. Depending on your irrigation setup, prepare either ridges and furrows or raised beds. Mix in about 25�30 tons of well-rotted farmyard manure (FYM) per hectare for better soil fertility.In South India, plant from April to June, while in North India, the season is usually May to June. Choose healthy rhizomes weighing 25�30 grams and plant them 5�7 cm deep. Space them 45 cm apart for ridges (20�25 cm between plants) or 30�40 cm apart in beds. You'll need about 2000�2500 kg of rhizomes per hectare.Use FYM and apply NPK (60:50:120 kg/ha) in 2�3 split doses. Adding 5�10 grams of Trichoderma per pit can help prevent rot. After planting, mulch with 12�15 tons of green leaves or straw to retain moisture and control weeds. Water immediately after planting and every 7�10 days, ensuring good drainage. Weed at 30, 60, and 90 days, and earth up around 60 days. The crop matures in 7�9 months. Harvest when the leaves turn yellow, usually between January and March, and then dig out, clean, and process the rhizomes. "
